#NB_THREADS	NB_COMMIT_PHASES	TIME_TOTAL	TIME_AFTER_TX	TIME_TX	TIME_WAIT	TIME_SGL	TIME_ABORTED_TX	TIME_AFTER_TX_FAIL
12	9254884	357047315040	90113625762	266933689278	88664937772	0	113041487630	0
12	8116780	357432075000	76515385868	280916689132	75228645034	0	135048598176	0
